# Order
title,price,discprice,discount,fprice

# less then 2$
Vampire: The Masquerade - Coteries of New York Deluxe Edition, 34.13, 4.70, 86%, 4.70
shapez, 11.99, 4.79, 60%, 4.79
Harvester, 6.49, 4.86, 25%, 4.86
Hyperdrive Massacre - Deluxe Edition, 16.68, 4.88, 70%, 4.88
The Hex - Game and Soundtrack, 18.63, 4.91, 73%, 4.91
The Hex - Game and Soundtrack, 18.63, 4.91, 73%, 4.91
Bastion + Original Soundtrack, 28.98, 4.92, 83%, 4.92
Disgaea 2 PC Digital Dood Edition, 27.48, 4.93, 82%, 4.93
EVERSPACE™, 32.99, 4.94, 85%, 4.94
Kingdom Rush  - Tower Defense, 10.99, 4.94, 55%, 4.94
Devil Daggers, 9.99, 4.99, 50%, 4.99

# less then 6$
ISLANDERS, 6.69, 5.01, 25%, 5.01
Underworld Ascendant, 33.99, 5.09, 85%, 5.09
VirtuaVerse, 16.99, 5.09, 70%, 5.09
Radio Commander - Complete Edition, 28.48, 5.11, 82%, 5.11
Crown of Pain, 5.69, 5.12, 10%, 5.12
This War of Mine: Complete Edition, 35.47, 5.14, 85%, 5.14
Orwell: Ignorance Is Strength Deluxe Edition, 22.98, 5.16, 77%, 5.16
Serious Sam 3: BFE Gold Edition, 64.97, 5.17, 92%, 5.17
Deep Sky Derelicts - Complete Your Set, 40.77, 5.18, 87%, 5.18
NOT A HERO, 25.99, 5.19, 80%, 5.19
Deus Ex: Mankind Divided, 34.99, 5.24, 85%, 5.24
Poly Bridge 2, 17.49, 5.24, 70%, 5.24
The Coma 2: Vicious Sisters, 17.49, 5.24, 70%, 5.24
A Dance of Fire and Ice, 6.69, 5.35, 20%, 5.35
Istanbul: Digital Edition, 13.49, 5.39, 60%, 5.39
Project Starship X, 17.99, 5.39, 70%, 5.39
ACE Academy, 21.99, 5.49, 75%, 5.49
Axes and Acres, 10.99, 5.49, 50%, 5.49
Company of Heroes 2, 21.99, 5.49, 75%, 5.49
Deadfall Adventures, 21.99, 5.49, 75%, 5.49
Dragon's Lair, 10.99, 5.49, 50%, 5.49
Expeditions: Conquistador, 21.99, 5.49, 75%, 5.49
Gateways, 5.49,0, 0%, 5.49
Jagged Alliance Flashback, 21.99, 5.49, 75%, 5.49
Legend of Dungeon, 10.99, 5.49, 50%, 5.49
Saints Row: The Third, 10.99, 5.49, 50%, 5.49
Slime Rancher, 21.99, 5.49, 75%, 5.49
Soulslayer～灭魂·误佳期～, 10.99, 5.49, 50%, 5.49
Space Pirates and Zombies, 10.99, 5.49, 50%, 5.49
Staxel, 21.99, 5.49, 75%, 5.49
Stories of Bethem: Full Moon, 5.49,0, 0%, 5.49
The Book of Unwritten Tales, 21.99, 5.49, 75%, 5.49
The Escapists 2, 21.99, 5.49, 75%, 5.49
Torchlight II, 21.99, 5.49, 75%, 5.49
Trine 2: Complete Story, 21.99, 5.49, 75%, 5.49
